Question,,,,,,,Correct answer,,,Incorrect answer 1,,,Incorrect answer 2,,,Incorrect answer 3,,,,,
number,id,text,difficulty,image-name,image-label,table,text,explanation,position,text,explanation,position,text,explanation,position,text,explanation,position,source,Question Stem correct?,"Answer / Explanation correct, no errors?"
1,PHSCALE-01,"A student prepares 3 solutions in separate beakers with these soluble salts: KCN, NaCl and KBr.

What is a true statement regarding these solutions and their pH?

(Note: Remember the strong acids are HCl, HBr, HI, HClO_3_, HClO_4_, HNO_3_ and H_2_SO_4_).",easy,,,,The pH of the KCN solution is higher than 7 while the other two are 7.,"Given how in water KCN dissociates into K^+^ and CN^-^ ions entirely, while the K^+^ wouldn't do much, the CN^-^ ions have a weak base property, meaning it will attract some H^+^ from water and ultimately increasing the [OH^-^] in water by a very small amount (enough for the pH to increase as well).

The other two soluble salts also dissociate into their ions, none of which have any weak base or weak acid properties, so the pH of their solutions must remain as 7.",,The pH of the KCN solution is lower than 7 while the other two are 7.,"CN^-^ ions have weak base properties, so it wouldn't make the pH lower when dissolved in a solution but on the contrary it would increase the pH making the solution slightly basic.

Although, it's true that the other two soluble salts also dissociate into their ions, none of which have any weak base or weak acid properties, so the pH of their solutions must remain as 7.",,The pH of the NaCl solution is higher than 7 while the other two are lower than 7.,"The NaCl dissociate into its ions, none of which have any weak base or weak acid properties, so the pH of its solution must remain as 7.",,The pH of the KBr solution is higher than 7 while the other two are higher than 7.,"The KBr dissociate into its ions, none of which have any weak base or weak acid properties, so the pH of its solution must remain as 7.",,Question 64. AP College Board 2008,Yes,Yes
2,PHSCALE-02,"Consider this strong acid reaction:

$HCl + H_2_O$ → $H_3_O^+^ + Cl^-^$

How is the behaviour of water better described in this reaction?",medium,,,,It acts as a base,"In this case water does act as a base by attracting H^+^ ions from the strong acid. Water is neutral and it's not considered neither an acid or a base, but it can act as any of those depending on the reaction.",,It acts as an acid,"It doens't act as an acid since in that case it's not donating any H^+^ ions but actually taking it from the strong acid. Water is neutral and it's not considered neither an acid or a base, but it can act as any of those depending on the reaction.",,Water is neutral so it doesn't act as neither an acid or a base,"Water is neutral and it's not considered neither an acid or a base, but it can act as any of those depending on the reaction.",,There is not enough information,It should be enough to determine water's behaviour by looking at the reaction it's involved in.,,Question 22. AP College Board 1994,Yes,Yes
3,PHSCALE-03,Which one would be the conjugate base for this compound: H_2_S?,easy,,,,HS^-^,"The dissociation of H_2_S in water would go as follows:

$H_2_S + H_2_O$ ⇄ $HS^-^ + H_3_O^+^$

So by losing an H^+^, the conjugate base for H_2_S would be HS^-^.
",,S^2-^,"The dissociation of H_2_S in water would go as follows:

$H_2_S + H_2_O$ ⇄ $HS^-^ + H_3_O^+^$

It would need to lose yet another H^+^ to finally result in S^2-^, so it's not its immediate conjugate base.
",,H_2_SO_4_,"The dissociation of H_2_S in water would go as follows:

H_2_S + H_2_O ⇄ $HS^-^ + H_3_O^+^$

As you can see, H_2_SO_4_ is not the conjugate base of H_2_S.
",,H_2_SO_3_,"The dissociation of H_2_S in water would go as follows:

$H_2_S + H_2_O$ ⇄ $HS^-^ + H_3_O^+^$

As you can see, H_2_SO_3_ is not the conjugate base of H_2_S.
",,Question 48. AP College Board 2008,Yes,Yes
4,PHSCALE-04,"A student wants to prepare a solution of a strong base ""XOH"". The student proceeds to mix 50 mL of water with 5 mL of XOH 0.05 M. What would the pH be for this particular hypothetical solution?",easy,,,,11.6,"The dissociation of a strong base like XOH in water would go as follows:

XOH → OH^-^ + X^+^

It completely dissociates into its ions. Let's first calculate how many moles of OH^-^ are in the previous solution:

Moles of OH^-^ = Molarity x Volume
Moles of OH^-^ = 0.05 x 0.005
Moles of OH^-^ = 0.00025 moles

Knowing this, to know the concentration of OH^-^ in the final solution, we assume the volume is added:

[OH^-^] = Moles of OH^-^/Total Volume
[OH^-^] = 0.00025 / (0.005 + 0.05)
[OH^-^] = 0.0045 M

To calculate the pH, we just part from its relationship with pOH

pH = 14 - pOH
pH = 14 - ( -log(0.0045))
pH = 11.6

This value makes sense as it's a very basic pH.",,2.3,"The dissociation of a strong base like XOH in water would go as follows:

XOH → $OH^-^ + X^+^$

It completely dissociates into its ions. From the getgo, you can know this pH is far too acidic to be accurate in a solution of a strong base. Remember for basic solutions pH > 7 and pOH < 7. Take into account $pH + pOH = 14$.",,12.7,"The dissociation of a strong base like XOH in water would go as follows:

XOH → $OH^-^ + X^+^$

It completely dissociates into its ions. This would be the pH of the XOH solution prior to its mix with water. When mixing it with water, the concentration of OH^-^ ions would decrease, decreasing the pH as well.",,1.3,This is actually th pOH of the XOH solution prior to its mix with water. Try understanding how a strong base dissociates in water and how the concentration of the OH^-^ ions would affect the pH of a solution.,,Question 68. AP College Board 2008,Yes,Yes
5,PHSCALE-05,"If solutions were to be prepared with any one of these soluble salts, which of them would result in the solution with the lowest pOH?",medium,,,,K_2_CO_3_,"Since soluble salts dissociate entirely into water, what we want to focus on is in the resultant ions in the solution. In this case, K^+^ doesn't really affect the pH of a solution, so the important ion would be CO_3_^2-^ which indeed is a weak base (given its conjugate base is a weak acid as well), which will end up increasing the pH.

Given that $pH + pOH = 14$, if the pH increases, the pOH decreases, being this the solution with the lowest pOH of all the options.",,KCl,"Since soluble salts dissociate entirely into water, what we want to focus on is in the resultant ions in the solution. In this case, K^+^ doesn't really affect the pH of a solution and neither does the Cl^-^ so the pH (and the pOH) will remain at 7.",,NaBr,"Since soluble salts dissociate entirely into water, what we want to focus on is in the resultant ions in the solution. In this case, Na^+^ doesn't really affect the pH of a solution and neither does the Br^-^ so the pH (and the pOH) will remain at 7.",,NaNO_3_,"Since soluble salts dissociate entirely into water, what we want to focus on is in the resultant ions in the solution. In this case, Na^+^ doesn't really affect the pH of a solution and neither does the NO_3_^-^ so the pH (and the pOH) will remain at 7.",,Question 61. AP College Board 1994,Yes,Yes
6,PHSCALE-06,"$0.05 moles$ of a weak acid (HA) are dissolved in a $400 mL$ solution. For this particular weak acid, its $Ka = 2.5x10^-9^$. What would be the pH for this solution?",medium,,,,4.75,"The dissociation of HA in water would go as follows:

HA ⇄ H^+^ + A^-^

Let's first calculate the initial concentration of HA before dissociation:

[HA] = Moles of HA/ Volume of Solution
[HA] = 0.05/0.4
[HA] = 0.125 M

Considering ""X"" as the amount of HA that gets dissociated into its ions, we can write the Ka expression for this weak acid as:

Ka = [H^+^][A^-^]/[HA]
Ka = (X)(X)/(0.125 - X)

Since X is a very small number, we can assume $(0.125 - X)$ as 0.125. Solving for X: $X = √[HA]Ka$.Replacing the values:

X = √(0.125 x 2.5x10^-9^)
X = 1.767x10^-5^

This is also the amount of hidronium ions that are now dissolved in the solution. Given the pH equation: $pH = -log([H^+^])$, let's just replace:

pH = -log(1.767x10^-5^)
pH = 4.75",,0.9,"This would be the pH if you assumed $0.125 M$ to be the concentration of hidronium ions in the solution, which would be true for a strong acid but since this is a weak acid, only a small part of it gets dissociated into H^+^ ions.",,8.6,"Given it's a weak acid, when dissolved in water, the pH of the solution would most probably be lower than 7 because its acidic nature, so a pH of 8.6 wouldn't make sense for an acid solution. This would be the pKa of the weak acid.",,9.5,"Given it's a weak acid, when dissolved in water, the pH of the solution would most probably be lower than 7 because its acidic nature. 9.5 would be the pH of a basic solution instead.",,Question 66. AP College Board 1994,Yes,Yes
7,PHSCALE-07,"""Acids can accept an electron pair, while bases can donate an electron pair."" This definition for acids and bases is attributed to:",easy,,,,Lewis,Lewis acids and bases are described as substances that share electron pairs. This is a definition that encompasses much more substances than the other two counterpart theories.,,Brønsted-Lowry,The Brønsted-Lowry theory is based on the sharing and acceptance of protons. ,,Arrhenius,The Arrhenius definition is only based on H^+^ and OH^-^ ions.,,It's just a broad definition of acids and bases,"There are three theories that define acids and bases and their interactions with each other and others substances. Arrhenius, Brønsted-Lowry and Lewis theories.",,Question 38. AP College Board 1999,Yes,Yes
8,PHSCALE-08,"A student attempts to prepare an NaOH $2.5x10^-3^ M$ solution. The student weights a sample of solid NaOH $(34 mg)$ and then proceeds to prepare the solution with distilled water until it reaches $500 mL$.

After the solution was mixed throughly, the student measures the pH with a pH meter $(pH = 11.23)$. Did the student succeded in preparing the desired solution?

Note: Consider that the molar weight of NaOH is $40 g/mol$.",easy,,,,"No, they would need to add $16 mg$ more of NaOH.","Parting from a pH of 11.23, we can calculate the concentration of NaOH in the solution by:

[OH^-^] = 10^-(14-11.23)^
[OH^-^] = 1.7x10^-3^ M

Since this is a lower molarity than the desired, more NaOH would have to be added to the solution. To determine how much more, let's calculate the total amount of NaOH needed for it:

Moles of NaOH = [OH^-^] x Volume of Solution
Moles of NaOH = 2.5x10^-3^ x 0.5
Moles of NaOH = 1.25x10^-3^ moles

Knowing the molar mass, we calculate the mass:

Mass of NaOH = Moles of NaOH x Molar Mass of NaOH
Mass of NaOH = 1.25x10^-3^ x 40
Mass of NaOH = 0.05 g

or what is the same, 50 mg. If the student already added $34 mg$ to the solution, then the difference is what's needed: $50 - 34 = 16 mg$.",,"No, they would need to add $50 mg$ more of NaOH.","This would be the total mass of NaOH needed to prepare the desired solution, but take into account the student already added $34 mg$ so only the difference would be required.",,"No, they would need to add $16 mg$ more of water.","Parting from a pH of 11.23, we can calculate the concentration of NaOH in the solution by:

[OH^-^] = 10^-(14-11.23)^
[OH^-^] = 1.7x10^-3^ M

Since this is a lower molarity than the desired, more NaOH would have to be added to the solution. 

If the student were to add more water then the solution would get dilluted and the concentration of NaOH would go down further from its desired value.",,"Yes, it's a 2.5x10^-3^ M solution.","Parting from a pH of 11.23, we can calculate the concentration of NaOH in the solution by:

[OH^-^] = 10^-(14-11.23)^
[OH^-^] = 1.7x10^-3^ M

This is not the desired concentration of NaOH in the solution.",,Question 44. AP College Board 1999,Yes,Yes
9,PHSCALE-09,A $0.005 M$ solution of HCl (strong acid) is prepared. What would be the pH of said solution?,medium,,,,2.3,"Given the pH equation: $pH = -log([H^+^])$, Let's just replace the concentration;

pH = -log(0.005)
pH = 2.3

It's a very acidic pH.",,4.6,"Although this is an acidic pH, it's not low enough given the concentration of the HCl. Remember the pH equation is: $pH = -log([H^+^])$",,11.7,"This is a very basic pH, and this value wouldn't make sense for such an acidic solution. This would actually be the pOH of the solution instead of the pH which is what is asked for.",,Not enough information,For strong acids it's enough to know their concentration to determine the pH because they dissociate entirely into their ions. In this case $[HCl] = [H^+^]$,,Question Albert.io pH and HNO3,Yes,Yes
10,PHSCALE-10,A $0.140 M$ solution of HA (a hypothetical weak acid) is prepared. Its $Ka = 3.5x10^-5^$.  What would be the pOH of said solution?,hard,,,,11.3,"The dissociation of HA in water would go as follows:

HA ⇄ $H^+^ + A^-^$

Considering ""X"" as the amount of HA that gets dissociated into its ions, we can write the Ka expression for this weak acid as:

Ka = [H^+^][A^-^]/[HA]
Ka = (X)(X)/(0.140 - X)

Since X is a very small number, we can assume $(0.140 - X)$ as 0.140. Solving for X: $X = √[HA]Ka$. Replacing the values:

X = √(0.140 x 3.5x10^-5^)
X = 2.21x10^-3^

This is also the amount of hidronium ions that are now dissolved in the solution. Given the pOH equation: $pOH = 14 -(-log([H^+^]))$. Let's just replace:

pOH = 14 -(-log(2.21x10^-3^))
pH = 11.3
",,0.8,"This is a very basic pOH, and this value wouldn't make sense for such an acidic solution.",,13.2,"This would be the pOH if you assumed $0.140 M$ to be the concentration of hidronium ions in the solution, which would be true for a strong acid but since this is a weak acid, only a small part of it gets dissociated into H^+^ ions.",,4.5,This is actually just the pKa of the weak acid in question. Try to determine the [H^+^] ions into which the acid dissociates to know the pH and therefore the pOH.,,Question Albert.io Estimating pH of a Solution,Yes,Yes
