Question,,,,,,,Correct answer,,,Incorrect answer 1,,,Incorrect answer 2,,,Incorrect answer 3,,,,,
number,id,text,difficulty,image-name,image-label,table,text,explanation,position,text,explanation,position,text,explanation,position,text,explanation,position,source,Question Stem correct?,"Answer / Explanation correct, no errors?"
1,TITRATION-01,"Consider a hypothetical weak acid HA that's being titrated with a KOH:

HA + KOH → KA + H_2_O

$55 mL$ of this weak acid are totally neutralized by $135 mL$ of $0.100 M$ KOH. After the weak acid is totally neutralized, what's the concentration of A^-^ ions in the solution?",medium,,,,0.071 M,"In a $135 mL$ solution of $0.100 M KOH$, we can determine how many moles of KA are being produced from the neutralization reaction (according to the reaction's equation):

Moles of KOH = 0.135 x 0.100
Moles of KOH = 0.0135 moles KA

Consider that KA as a soluble salt in totally dissociates in water into its ions K^+^ and A^-^, being this last one the important one:

[A^-^] = Moles of A^-^/Total Volume
[A^-^] = 0.0135/0.055 + 0.135
[A^-^] = 0.071 M

 ",,0.245 M,"This would be the initial concentration of HA, but what is asked for is the concentration of the A^-^ ions after the neutralization reaction.",,0.100 M,"This would just be the molarity of the strong base, but what is asked for is the concentration of the A^-^ ions after the neutralization reaction.",,0.055 M,This value would represent the volume of the initial HA solution instead of the concentration of A^-^ ions.,,Question 16. AP College Board 1994,Yes,Yes
2,TITRATION-02,"Consider a strong acid HI that's being titrated with a NaOH:

HI + NaOH → NaI + H_2_O

How many liters of NaOH $0.100 M$ need to be added to a $200 mL$ solution of $0.500 M$ $HI$ in order to reach the equivalence point?",medium,,,,1 L,"In a $200 mL$ solution of $0.500 M HI$, we can determine how many moles of it are present initially:

Moles of HI = 0.200 x 0.500
Moles of HI = 0.1 moles

To get to the equivalence point, all the acid has to be neutralized, so the same amount of moles of base have to react with it. From a $0.100 M$ solution, we can calculate the volume: 

Volume of NaOH = Moles of NaOH/Molarity of NaOH
Volume of NaOH = 0.1/0.100
Volume of NaOH = 1 L


 ",,0.5 L,This wouldn't be enough base to neutralize the whole acid of the solution.,,1.5 L,This would be too much base to neutralize the whole acid of the solution.,,0.2 L,"This would be the volume of the acid initially, and since its concentration is higher than the one of the base, and being this a one to one reaction, than it would be impossible for the required volume of base to be the same.",,Question 55. AP College Board 1994,Yes,Yes
3,TITRATION-03,"According to the following graph, what is accurate about each point in the titration of a weak acid (HA) with a strong base?",hard,,,,"A: [HA] = [A^-^]
B: [A^-^] > [HA]
C: [HA] = [OH^-^]
D: [OH^-^] > [HA]","Halfway to the equivalence point there is the point of maximum buffering capacity of the solution at which $[HA] = [A^-^]$ and the combination of the conjugate pair makes the solution to resist small changes on the pH. 

After that, by adding more strong base the [HA] gets neutralized while the [A^-^] gets produced, so from that moment on $[A^-^] > [HA]$. 

At the equivalence point, there is only A^-^ left in solution, which is a weak base that ends up producing equal parts of HA and OH^-^. 

By keep adding the strong base, from that point on $[OH^-^] > [HA]$. ",,"A: [HA] = [A^-^]
B: [A^-^] > [HA]
C: [HA] < [OH^-^]
D: [OH^-^] > [HA]",At the equivalence point (C in this case) both HA and OH^-^ are equal because there is only A^-^ in solution which then produces equal parts of both HA and OH^-^ when at equilibrium.,,"A: [HA] = [A^-^]
B: [A^-^] > [HA]
C: [HA] = [OH^-^]
D: [OH^-^] < [HA]","Initially there is a solution of HA, which gets neutralized by adding a strong base, so the further you go into the titration curve the less HA is in the solution. By the time it comes point D, there is much more OH^-^ ions than HA in solution.",,"A: [HA] = [A^-^]
B: [A^-^] < [HA]
C: [HA] = [OH^-^]
D: [OH^-^] > [HA]","Initially there is a solution of HA, which gets neutralized by adding a strong base, and for each mole of HA neutralized a mole of A^-^ gets produced, so the further you go into the titration curve the higher is A^-^ with respect to HA in solution.",,Question 34. AP College Board  2002,Yes,Yes
4,TITRATION-04,"According to the following graph, what is accurate about each point in the titration of a weak base (A^-^) with a strong acid?",hard,,,,"A: [A^-^] = [HA]
B: [HA] > [A^-^]
C: [A^-^] = [H^+^]
D: [H^+^] > [A^-^]","Halfway to the equivalence point there is the point of maximum buffering capacity of the solution at which $[A^-^] = [HA]$ and the combination of the conjugate pair makes the solution to resist small changes on the pH.

After that, by adding more strong acid the [A^-^] gets neutralized while the [HA] gets produced, so from that moment on $[HA] > [A^-^]$. 

At the equivalence point, there is only HA left in solution, which is a weak acid that dissociates into equal parts of A^-^ and H^+^.

By keep adding the strong acid, from that point on $[H^+^] > [A^-^]$. ",,"A: [A^-^] = [HA]
B: [HA] > [A^-^]
C: [A^-^] < [H^+^]
D: [H^+^] > [A^-^]",At the equivalence point (C in this case) both A^-^ and H^+^ are equal because there is only HA in solution which then dissociates into equal parts of both A^-^ and H^+^ when at equilibrium.,,"A: [A^-^] = [HA]
B: [HA] > [A^-^]
C: [A^-^] = [H^+^]
D: [H^+^] < [A^-^]","Initially there is a solution of A^-^ (probably a basic soluble salt), which gets neutralized by adding a strong acid, so the further you go into the titration curve the less A^-^ is in the solution. By the time it comes point D, there is much more H^+^ ions than A^-^ ions in solution.",,"A: [A^-^] = [HA]
B: [HA] < [A^-^]
C: [A^-^] = [H^+^]
D: [H^+^] > [A^-^]","Initially there is a solution of A^-^, which gets neutralized by adding a strong acid, and for each mole of A^-^ neutralized a mole of HA gets produced, so the further you go into the titration curve the higher is HA with respect to HA in solution.",,Questions 4-6. AP College Board  2008,Yes,Yes
5,TITRATION-05,"Consider a hypothetical weak acid HA with a $Ka = 10^-4^$. A student prepares a solution with it, and gets the measurement of the pH as 2.5. What's the molarity of the solution?",medium,,,,0.1030 M,"Parting from the pH of the solution, it's possible for us to calculate the concentration of H^+^ ions:

[H^+^] = 10^-2.5^
[H^+^] = 3.16x10^-3^ M

HA dissociates like this:

HA ⇄ H^+^ + A^-^

To determine the initial concentration of HA (or the molarity of the solution), let's consider [HA]_o_ as the initial concentration of HA before it's dissociated:

Ka = [H^+^][A^-^]/[HA]
10^-4^ = (3.16x10^-3^)(3.16x10^-3^)/[HA]_o_ - 3.16x10^-3^

Solving for [HA]_o_:

[HA]_o_ = 0.1030 M 

",,0.0032 M,This would be the concentration of H^+^ ions in solution instead of the initial concentration of HA.,,0.0500 M,This is a concentration that wouldn't be enough for the HA to dissociate into H^+^ ions to reach that pH.,,There is not enough information.,There is enough information. Try writing the expression for the Ka and solve for the initial concentration of HA.,,Question 53. AP College Board 2008,Yes,Yes
6,TITRATION-06,"In order to fully neutralize a $300 mL$ solution of NaOH, $140 mL$ of HCl $0.120 M$ are used. What was the molarity of the strong base?",easy,,,,0.056 M,"Being the strong base NaOH, we can easily calcualte its molarity:

M_NaOH_ = M_HCl_ x V_HCl_ / V_NaOH_
M_NaOH_ = 0.120 x 0.140 / 0.300
M_NaOH_ = 0.056 M",,0.120 M,This would just be the molarity of the HCl.,,0.300 M,This would just be the value of the mililiters of strong base that got neutralized.,,0.140 M,This would just be the value of the mililiters of strong acid that neutralized the base.,,Question Albert.io Concentration of a Strong Acid,Yes,Yes
7,TITRATION-07,"At the equivalence point of the following graph showing the titration of KA (hypothetical basic soluble salt), which ions would probably be in the solution that's being titrated?",medium,,,,[K^+^] > [HA] > [H^+^] = [A^-^],"KA is a soluble salt that totally dissociates into K^+^ and A^-^, being this last one a weak base. The point at which this weak base is fully neutralized it's called the equivalence point. For each mole of A^-^ neutralized a mole of HA is produced. At that point, there is HA and K^+^ left in solution, but the HA slightly dissociates into H^+^ and A^-^ in equal parts for monoprotic acids.",,[A^-^] > [H^+^] > [HA],"At that point the only A^-^ ions present would be those that come from that dissociation of the HA left in solution, so it would be minimum in comparison with HA.",,[K^+^] > [H^+^] > [HA],At this point there is a much higher concentration of HA than H^+^ ions in solution since this last one comes from the slight dissociation of HA.,,[A^-^] > [HA] > [H^+^] = [K^+^],"KA is a soluble salt that totally dissociates into K^+^ and A^-^, being this last one a weak base. The A^-^ gets neutralized while the K^+^ just remains inactive, so at neutralization the concentration of K^+^ is still constant while A^-^ is well below its initial concentration.",,Question Albert.io Predicting Ions Present,Yes,Yes
8,TITRATION-08,What does the following graph represent?,medium,,,,The titration of a strong acid with a strong base,The curve starts at a very low pH indicating that at that point there's only a very acidic solution. The fact that the pH is 7 at the equivalence point is also an indicator that it's the titration of a strong acid with a strong base.,,The titration of a weak acid with a strong base,If this was a weak acid there would be a buffering region zone at first and the pH at the equivalence point wouldn't be 7.,,The titration of a strong base with a strong acid,If this was the titration of a strong base the curve would have started at a higher pH instead of a lower that indicates the solution is acidic at first.,,The titration of a strong acid with a weak base,Titrating with weak acids or bases is not a common nor practical thing to do so it's hard to encounter the usage of weak acids and bases as titrants. The pH of 7 at the equivalence point indicates it's a strong acid and a strong base.,,Question Albert.io Acid Base Equilibria: Titration Curve,Yes,Yes
9,TITRATION-09,What would be the titrant in in this titration curve?,medium,,,,The strong acid,"A titrant is often definted as a solution of a known concentration, that's added to another solution to determine its concentration.",,The strong base,"The strong base in this case would be the titrand or analyte, which is the substance with a concentration that's to be determined with the titration.",,The weak acid,There is no weak acid involved in this titration by the looks of the curve.,,The weak base,There is no weak base involved in this titration by the looks of the curve.,,Question Albert.io pH= pKa on a Titration Curve,Yes,Yes
10,TITRATION-10,"A student is titrating a weak acid (HA, $Ka = 2.7x10^-5^$) with a strong base. At the point at which $[HA] = [A^-^]$, the pH is...?",easy,,,,4.6,"At that point (half-equivalence point) the $pH = pKa$ so we just need to calculate the pKa:

pH = -log(Ka)
pH = -log(2.7x10^-5^)
pH = 4.6",,5.2,This is a high pH considering the Ka of the weak acid that's being titrated.,,6.1,This is a very high pH considering the Ka of the weak acid that's being titrated.,,6.9,This is too high of a pH considering the Ka of the weak acid that's being titrated.,,Question Albert.io Half-equivalence Point,Yes,Yes
