,,,,,,,Correct answer,,,Incorrect answer 1,,,Incorrect answer 2,,,Incorrect answer 3,,
number,id,text,difficulty,image-name,image-label,table,text,explanation,position,text,explanation,position,text,explanation,position,text,explanation,position
1,BR-1,.,easy,,,,.,.,,.,.,,.,.,,.,.,
2,BR-2,.,easy,,,,.,.,,.,.,,.,.,,.,.,
3,BR-3,.,easy,,,,.,.,,.,.,,.,.,,.,.,
4,BR-4,.,easy,,,,.,.,,.,.,,.,.,,.,.,
5,BR-5,.,easy,,,,.,.,,.,.,,.,.,,.,.,
6,BR-6,.,easy,,,,.,.,,.,.,,.,.,,.,.,
7,BR-7,.,easy,,,,.,.,,.,.,,.,.,,.,.,
8,BR-8,.,easy,,,,.,.,,.,.,,.,.,,.,.,
9,BR-9,.,easy,,,,.,.,,.,.,,.,.,,.,.,
10,BR-10,.,easy,,,,.,.,,.,.,,.,.,,.,.,
11,BR-11,.,easy,,,,.,.,,.,.,,.,.,,.,.,
12,BR-12,.,easy,,,,.,.,,.,.,,.,.,,.,.,
13,BR-13,.,easy,,,,.,.,,.,.,,.,.,,.,.,
14,BR-14,.,easy,,,,.,.,,.,.,,.,.,,.,.,
15,BR-15,.,easy,,,,.,.,,.,.,,.,.,,.,.,
16,BR-16,.,easy,,,,.,.,,.,.,,.,.,,.,.,
17,BR-17,.,easy,,,,.,.,,.,.,,.,.,,.,.,
18,BR-18,.,easy,,,,.,.,,.,.,,.,.,,.,.,
19,BR-19,.,easy,,,,.,.,,.,.,,.,.,,.,.,
20,BR-20,.,easy,,,,.,.,,.,.,,.,.,,.,.,
