,,,,,,,Correct answer,,,Incorrect answer 1,,,Incorrect answer 2,,,Incorrect answer 3,,
number,id,text,difficulty,image-name,image-label,table,text,explanation,position,text,explanation,position,text,explanation,position,text,explanation,position
1,L-1,.,easy,,,,.,.,,.,.,,.,.,,.,.,
2,L-2,.,easy,,,,.,.,,.,.,,.,.,,.,.,
3,L-3,.,easy,,,,.,.,,.,.,,.,.,,.,.,
4,L-4,.,easy,,,,.,.,,.,.,,.,.,,.,.,
5,L-5,.,easy,,,,.,.,,.,.,,.,.,,.,.,
6,L-6,.,easy,,,,.,.,,.,.,,.,.,,.,.,
7,L-7,.,easy,,,,.,.,,.,.,,.,.,,.,.,
8,L-8,.,easy,,,,.,.,,.,.,,.,.,,.,.,
9,L-9,.,easy,,,,.,.,,.,.,,.,.,,.,.,
10,L-10,.,easy,,,,.,.,,.,.,,.,.,,.,.,
11,L-11,.,easy,,,,.,.,,.,.,,.,.,,.,.,
12,L-12,.,easy,,,,.,.,,.,.,,.,.,,.,.,
13,L-13,.,easy,,,,.,.,,.,.,,.,.,,.,.,
14,L-14,.,easy,,,,.,.,,.,.,,.,.,,.,.,
15,L-15,.,easy,,,,.,.,,.,.,,.,.,,.,.,
16,L-16,.,easy,,,,.,.,,.,.,,.,.,,.,.,
17,L-17,.,easy,,,,.,.,,.,.,,.,.,,.,.,
18,L-18,.,easy,,,,.,.,,.,.,,.,.,,.,.,
19,L-19,.,easy,,,,.,.,,.,.,,.,.,,.,.,
20,L-20,.,easy,,,,.,.,,.,.,,.,.,,.,.,
