,,,,,,,Correct answer,,,Incorrect answer 1,,,Incorrect answer 2,,,Incorrect answer 3,,
number,id,text,difficulty,image-name,image-label,table,text,explanation,position,text,explanation,position,text,explanation,position,text,explanation,position
1,P-1,.,easy,,,,.,.,,.,.,,.,.,,.,.,
2,P-2,.,easy,,,,.,.,,.,.,,.,.,,.,.,
3,P-3,.,easy,,,,.,.,,.,.,,.,.,,.,.,
4,P-4,.,easy,,,,.,.,,.,.,,.,.,,.,.,
5,P-5,.,easy,,,,.,.,,.,.,,.,.,,.,.,
6,P-6,.,easy,,,,.,.,,.,.,,.,.,,.,.,
7,P-7,.,easy,,,,.,.,,.,.,,.,.,,.,.,
8,P-8,.,easy,,,,.,.,,.,.,,.,.,,.,.,
9,P-9,.,easy,,,,.,.,,.,.,,.,.,,.,.,
10,P-10,.,easy,,,,.,.,,.,.,,.,.,,.,.,
11,P-11,.,easy,,,,.,.,,.,.,,.,.,,.,.,
12,P-12,.,easy,,,,.,.,,.,.,,.,.,,.,.,
13,P-13,.,easy,,,,.,.,,.,.,,.,.,,.,.,
14,P-14,.,easy,,,,.,.,,.,.,,.,.,,.,.,
15,P-15,.,easy,,,,.,.,,.,.,,.,.,,.,.,
16,P-16,.,easy,,,,.,.,,.,.,,.,.,,.,.,
17,P-17,.,easy,,,,.,.,,.,.,,.,.,,.,.,
18,P-18,.,easy,,,,.,.,,.,.,,.,.,,.,.,
19,P-19,.,easy,,,,.,.,,.,.,,.,.,,.,.,
20,P-20,.,easy,,,,.,.,,.,.,,.,.,,.,.,
