Question,,,,,,,Correct answer,,,Incorrect answer 1,,,Incorrect answer 2,,,Incorrect answer 3,,,
number,id,text,difficulty,image-name,image-label,table,text,explanation,position,text,explanation,position,text,explanation,position,text,explanation,position,source
1,SOLUBILITY-01,"A student adds a salt M_2_A_3_ into a beaker with water, in which the substance gets ionized into M^+3^ and A^-2^. Once the solution gets saturated, the student stops adding the salt and measures the concentration of the A^-2^ ions which turn to be $0.075 M$. What is the value for the Ksp of the salt?",medium,,,,1.05x10^-6^,"Let's first determine the reaction that would take place:

M_2_A_3__(s)_ ⇄ $2M^+3^_(aq)_ + 3A^-2^_(aq)_$

Now let''s write the expression for the Ksp for this particular reaction:

Ksp = $[A^-2^]^3^[M^+3^]^2^$

Assuming ""X"" as the amount of the salt that gets dissolved in M, let's replace the concentration expressions:

Ksp = $(3X)^3^(2X)^2^$

Since we know that $[A^-2^] = 0.075 M$ and that $[A^-2^] = 3X$ then $3X = 0.075$ and solving for X: $X = 0.025$.

Replacing the values in the Ksp equation:
Ksp = $(3(0.025))^3^(2(0.025))^2^$
Ksp = 1.05x10^-6^",,5.63x10^-3^,"Let's first determine the reaction that would take place:

M_2_A_3__(s)_ ⇄ $2M^+3^_(aq)_ + 3A^-2^_(aq)_$

If you didn't balance the equation you might have ended up with this value, which is not correct.",,2.4x10^-6^,"Let's first determine the reaction that would take place:

M_2_A_3__(s)_ ⇄ $2M^+3^_(aq)_ + 3A^-2^_(aq)_$

Remember that these coeffiecients are very important to take into account when writing the expression for Ksp. For each mole of M_2_A_3__(s)_ that gets dissolved, 2 moles of M^+3^_(aq)_ and 3 moles of A^-2^_(aq)_ get produced. ",,0.034,Remember to elevate the concentrations to their species' coefficient in the balanced equation for the respective reaction.,,AP Collage Board 2002 (Q75)
2,SOLUBILITY-02,How many moles of a salt MA could you dissolve in 5 L of water knowing that the Ksp for its ionization in water is 1.2x10^-3^.,medium,,,,0.15,"Let's first determine the reaction that would take place:

MA_(s)_ ⇄ $M^+^_(aq)_ + A^-^_(aq)_$

Now let''s write the expression for the Ksp for this particular reaction:

Ksp = [A^-^][M^+^]

Assuming ""X"" as the amount of the salt that gets dissolved in M, let's replace the concentration expressions:

Ksp = (X)(X)

Replacing the Ksp value: $1.2x10^-3^ = X^2^$

Solving for X: $X = 0.03 M$.

Knowing the maximum concentration this salt can reach in water, better known as the molar solubility, we just calculate the actual moles that could fit into $5 L$: 

Moles of MA(s) = 0.03 x 5
Moles of MA(s) = 0.15 moles",,0.03,"The molar solubility could be defined as the maximum concentration this salt can reach in water, but what is asked for in this question are the actual moles of the substance that could be dissolved into $5 L$ of water.",,1.2x10^-3^,"This is just the Ksp value for the reaction, not the moles of MA_(s)_ that can be dissolved in $5 L$ of water.",,6x10^-3^,"Knowing that only $0.03 M$ of MA_(s)_ can be dissolved into the water to make a saturated dissolution, it only takes to know the volume in which we would like to fit the moles and calculate them: $Moles of MA_(s)_ = Molarity x Volume$",,AP Collage Board 1999 (Q67)
3,SOLUBILITY-03,"Consider a salt that dissociates like this:

$M_2_A_(s)_ ⇄ 2M^+^_(aq)_ + A^-2^_(aq)_ Ksp = 4.6x10^-9^$

M_2_A_(s)_ is added to a solution that has 2.5 moles of A^-2^ ions dissolved in $10 L$ of water. How much of the salt can be dissolved into this solution?",easy,,,,$6.8x10^-5^$,"Let''s first write the expression for the Ksp for this particular reaction:

Ksp = $[M^+^]^2^[A^-2^]$

Considering there is an initial amount of the common ion A^-2^ already dissolved, let's calculate its initial concentration like: 
[A^-2^]_o_ = 2.5 / 10
[A^-2^]_o_ = 0.25 M

Assuming ""X"" as the amount of the salt that gets dissolved in M, let's replace the concentration expressions: $Ksp = (2X)^2^(X + 0.25)$.

Because of how small the Ksp is, we can assume X <<< 0.25, so in the expression $(X + 0.25)$, X can be assumed as 0 to make the calculation easier.

Replacing the values: $4.6x10^-9^ = (2X)^2^(0.25)$.

Solving for X: $X = 6.8x10^-5^ M$.",,1.05x10^-3^,"This is the amount of salt that could be dissolved if there weren't any common ions already dissolved into the solution. The common ion effect is the result of there being, as the name indicates, a common ion in the solution, which makes the salt less soluble in the dissolution.",,7.36x10^-8^ M,The common ion is A^-2^ and not M^+^.,,1.84x10^-8^ M,You have to take into account the coefficients in the balanced equation for the reaction.,,"Albert.io ""Molar Solubility with a Salt"""
4,SOLUBILITY-04,"If you wanted to increase the solubility (Ksp) of a substance, what action could yo take to achieve that?",medium,,,,It depends if it's an endothermic or exothermic reaction,"Dissolving a salt could be an endothermic reaction or exothermic reaction. Changing the temperature would affect differently in each case. If the temperature is increased for endothermic reactions, the solubility of the salt would increase, whereas if the temperature is increased for exothermic reactions, the solubility fo the salt would decrease.",,Increasing the temperature,Increasing the temperature would result in an increment in the solubility of the salts but only if it's an endothermic reaction.,,Decreasing the temperature,Decreasing the temperature would result in an increment in the solubility of the salts but only if it's an endothermic reaction.,,Assuring the tempereature stays perfectly constant,"Altering the temperature could be a way to manipulate the solubilty of a particular salt, and leaving it constant won't have an impact on it.",,"Albert.io ""Factors Changing Ksp"""
5,SOLUBILITY-05,"Consider the following reaction:

MA_(s)_ ⇄ $M^+^_(aq)_ + A^-^_(aq)_$

If you wanted to prepare a solution in which the salt MA_(s)_ is the least soluble, which one of the following substances would you use to prepare it? (Assume they all have the same Ksp value and molarity)
",medium,,,,ZA_3__(s)_,"Let's first determine the reaction that would take place: $ZA_3__(s)_ ⇄ Z^+3^_(aq)_ + 3A^-^_(aq)_$. So in comparison to the other options, this one would be the one that would produce the most of A^-^ ions, which translates into more presence of the common ion in the solution, making the salt MA_(s)_ less soluble.",,YA_2__(s)_,"Let's first determine the reaction that would take place: $YA_2__(s)_ ⇄ Z^+2^_(aq)_ + 2A^-^_(aq)_$. Compared to other options, the amount of A^-^ ions this reaction would produce is not enough to make the salt the least soluble.",,XA_(s)_,"Even though dissolving XA_(s)_ would result in an increment in the concentration of the common ion A^-^, it's not the option that would make the salt the least soluble.",,None,"If you added the salt to just water, by there not being any common ion, the salt would actually dissolve the most.",,"Albert.io ""pH and Solubility of ScF3"""
6,SOLUBILITY-06,"After adding 1.2x10^-4^ moles of a salt M_3_A_4__(s)_ to a beaker with $0.2 L$ of water, the solution created is saturated. Knowing that, what would the Ksp value be for M_3_A_4_(s)?",medium,,,,1.93x10^-19^,"Let's first determine the reaction that would take place:

M_3_A_4__(s)_ ⇄ $3M^+4^_(aq)_ + 4A^-3^_(aq)_$

Now let''s write the expression for the Ksp for this particular reaction:

Ksp = $[A^-3^]^4^[M^+4^]^3^$

Assuming ""X"" as the amount of the salt that gets dissolved in M, let's replace the concentration expressions:

Ksp = $(3X)^3^(4X)^4^$

Knowing the moles added and the volume, let's calculate the molar solubility:

Molar Solubility (X) = $1.2x10^-4^ / 0.2$
Molar Solubility (X) = 6x10^-4^

Replacing the values in the Ksp equation:

Ksp = $(3(6x10^-4^))^3^(4(6x10^-4^))^4^$
Ksp = 1.93x10^-19^",,3.6x10^-7^,"Let's first determine the reaction that would take place:

M_3_A_4__(s)_ ⇄ $3M^+4^_(aq)_ + 4A^-3^_(aq)_$

If you didn't balance the equation you might have ended up with this value, which is not correct.",,2.80x10^-23^,"Let's first determine the reaction that would take place:

$M_3_A_4__(s)_ ⇄ 3M^+4^_(aq)_ + 4A^-3^_(aq)_$

Remember that these coeffiecients are very important to take into account when writing the expression for Ksp. For each mole of M_3_A_4__(s)_ that gets dissolved, 3 moles of M^+4^_(aq)_ and 4 moles of A^-3^_(aq)_ get produced. ",,4.32x10^-6^,Remember to elevate the concentrations to their species' coefficient in the balanced equation for the respective reaction.,,"Albert.io ""Molar Solubility and Ksp"""
7,SOLUBILITY-07,Consider a salt MA_2(s)_ that has a Ksp of 8.3x10^-7^. What would the concentration of A^-^ ions would be in a saturated solution of this salt?,medium,,,,0.01184,"Let's first determine the reaction that would take place:

MA_2(s)_ ⇄ $M^+2^_(aq)_ + 2A^-^_(aq)_$

Now let''s write the expression for the Ksp for this particular reaction:

Ksp = [A^-^]^2^[M^+2^]

Assuming ""X"" as the amount of the salt that gets dissolved in M, let's replace the concentration expressions:

Ksp = (2X)^2^(X)

Replacing the Ksp value: $8.3x10^-7^ = (2X)^2^(X)$.

Solving for X: $X = 5.92x10^-3^ M$. Knowing this, we just calculate the concentration of A^-^: 

[A^-^] = 2x5.92x10^-3^
[A^-^] = 0.01184 M",,4.6x10^-4^,Remember to elevate the concentrations in the Ksp expression to their respective coefficients.,,8.3x10^-7^,"This is just the Ksp value for the reaction, not the concentration of A^-^ ions in the saturated solution.",,5.92x10^-3^,"This would be the molar solubility of the salt, but since for each mole of salt dissolved, 2 moles of A^-^ ions are produced, then its concentration wouldn't be the same.",,"Albert.io ""Ion Concentration"""
8,SOLUBILITY-08,"Take into consideration the following salts dissolving in water:

I XA_2(s)_ ⇄ $X^+2^_(aq)_ + 2A^-^_(aq)_$ $Ksp = 1.7x10^-7^$
II Y_2_B_3(s)_ ⇄ $2Y^+3^_(aq)_ + 3B^-2^_(aq)_$ $Ksp = 9.5x10^-9^$
III ZC_(s)_ ⇄ $Z^+^_(aq)_ + C^-^_(aq)_$ $Ksp = 2.2x10^-7^$

Which of the options have the highest molar solubility?",easy,,,,II,"Let's first determine the reaction that would take place:

Y_2_B_3(s)_ ⇄ $2Y^+3^_(aq)_ + 3B^-2^_(aq)_$

Now let''s write the expression for the Ksp for this particular reaction: $Ksp = [Y^+3^]^2^[B^-2^]^3^$.

Assuming ""X"" as the amount of the salt that gets dissolved in M, let's replace the concentration expressions: $Ksp = (2X)^2^(3X)^3^$.

Replacing the Ksp value: $9.5x10^-9^ = (2X)^2^(3X)^3^$.

Solving for X: $X = 9.7x10^-3^ M$. Being this one the highest molar solubility of all the options.",,I,"Let's first determine the reaction that would take place: $XA_2(s)_ ⇄ X^+2^_(aq)_ + 2A^-^_(aq)_$.

Now let''s write the expression for the Ksp for this particular reaction: $Ksp = [X^+2^][A^-^]^2^$.

Assuming ""X"" as the amount of the salt that gets dissolved in M, let's replace the concentration expressions: $Ksp = (X)(2X)^2^$.

Replacing the Ksp value: $1.7x10^-7^ = (X)(2X)^2^$.

Solving for X: $X = 3.5x10^-3^ M$. Since this is not the highest value compared to other options, this is incorrect.",,III,"Let's first determine the reaction that would take place: $ZC_(s)_ ⇄ Z^+^_(aq)_ + C^-^_(aq)_$.

Now let''s write the expression for the Ksp for this particular reaction: $Ksp = [Z^+^][C^-^]$.

Assuming ""X"" as the amount of the salt that gets dissolved in M, let's replace the concentration expressions: $Ksp = (X)(X)$.

Replacing the Ksp value: $2.2x10^-7^ = (X)^2^$.

Solving for X: $X = 4.7x10^-4^ M$. This would actually be the smallest molar solubility of all the options.",,There is not enough information to determine,There is enough information to calculate the molar solubility for each reaction given and compare them.,,"Albert.io ""Ksp Ranking"""
9,SOLUBILITY-09,"A saturated solution is prepared with a salt MA_(s)_ that has a Ksp of 0.05. Another salt, NA_(s)_ is then added until it reaches a molar solubility of $1x10^-4^ M$. If more of NA_(s)_ were added to the mixture, what would happen?",medium,,,,It would get dissolved because its molar solubility in that solution is of 1.9x10^-4^,"Let's first determine the first reaction that would take place: $MA_(s)_ ⇄ M^+^_(aq)_ + A^-^_(aq)_$.

Now let''s write the expression for the Ksp for this particular reaction: $Ksp = [M^+^][A^-^]$.

Assuming ""X"" as the amount of the salt that gets dissolved in M, let's replace the concentration expressions: $Ksp = (X)(X)$.

Replacing the Ksp value: $0.05 = (X)^2^$. Solving for X: $X = 0.22 M$.

This means that before the other salt is added, there is an initial amount of A^-^ ions already in the solution, with a concentration of $0.22 M$.

Knowing this, we can proceed to the other reaction: $NA_(s)_ ⇄ N^+^_(aq)_ + A^-^_(aq)_$.

Now let''s write the expression for the Ksp for this particular reaction: $Ksp = [N^+^][A^-^]$. Assuming ""X"" as the amount of the salt that gets dissolved in M, let's replace the concentration expressions: $Ksp = (X)(X + 0.22)$.

Because of how small the Ksp is, we can assume X <<< 0.22, so in the expression $(X + 0.22)$, X can be assumed as 0 to make the calculation easier.

Replacing the values: $4.2x10^-5^ = (X)(0.25)$. Solving for X: $X = 1.90x10^-4^ M$, being this the maximum amount of NA_(s)_ that could be dissolved in this solution.",,It would get dissolved because its molar solubility in that solution is of 6.5x10^-3^,"This would be the molar solubility of the salt if it were added just in water, but because of the presence of a common ion (A^-^) that would alter the solubility fo the salt, this is incorrect.",,It wouldn't get dissolved because the concentration of A^-^ ions is too high.,"Despite of the concentration of the A^-^ ions in the solution, at least a very small amount of the salt would be dissolved.",,It wouldn't get dissolved because the concentration of A^-^ ions is too low.,"If anything, a low presence of A^-^ ions in the solution, being the common ion, would actually make the salt more soluble. ",,"Albert.io ""Different Concentrations"""
10,SOLUBILITY-10,What does a really high value of a Ksp indicate for an ionic salt?,medium,,,,"It means that when at equilibrium, a high amount of the salt would be dissolved into ions compared to the amount that remains undissolved.","Since fundamentally $Ksp = [Dissolved Ions]$ at equilibrium, then the higher the value is, the more of the salt would be dissolved into ions when added to water or aqueous solution.",,"It means that when at equilibrium, a high amount of the salt would remain undissolved compared to the part that gets dissolved into ions.","Since fundamentally $Ksp = [Dissolved Ions]$ at equilibrium, then it actually means the opposite.",,"It means that when at equilibrium, a low amount of the salt would be dissolved into ions compared to the amount that remains undissolved.","Since fundamentally $Ksp = [Dissolved Ions]$ at equilibrium, this means that the greater is the value of the Ksp for a particular salt, then the more dissolved ions can it produce when added to water.",,It's not indicative of anything,"In general, Ksp actually indicates how soluble a salt can be, that's why Ksp is also referred to as the solubility product constant.",,"Albert.io ""Solubility of ZnS"""
