Question,,,,,,,Correct answer,,,Incorrect answer 1,,,Incorrect answer 2,,,Incorrect answer 3,,,
number,id,text,difficulty,image-name,image-label,table,text,explanation,position,text,explanation,position,text,explanation,position,text,explanation,position,source
1,AQUEOUS-01,"Consider the following reaction:

$A_2_B + 2C$ ⇄ $2A + BC_2_$

The reaction is at equilibrium right now, and the concentrations for all the compounds involved are the following:
$[A_2_B] = 0.10 M$, $[C] = 0.05 M$, $[A] = 0.02 M$ and $[BC_2_] = 0.01$.

What would the equilibrium constant K be for this reaction?",easy,,,,0.016 M,"Calculate the equilibrium constant using writing the equation for this reaction:
$K = [products]/[reactants]$
$K = [A]^2^[BC_2_]/[A_2_B][C]^2^$
$K = (0.02)^2^(0.01)/(0.10)(0.05)^2^$
$K = 0.016$",,0.040 M,You may have forgotten elevate to their coefficients the concentrations of C and A when calculating the equilibrium constant K.,,25 M,"You may have used the equation inverted: $K = [reactants]/[products]$, which would be the K for the reverse reaction. Besides that, remember to elevate the correspondant species to their coefficients in the equation.",,62.5 M,"Remember the equation for the equilibrium constant is:
$K = [products]/[reactants]$.

You may have used the equation inverted: 
$K = [reactants]/[products]$, which would be the K for the reverse reaction.",,Ap Collage Board 2008 (Q 55)
2,AQUEOUS-02,"Consider the following reaction:

$3A_(aq)_$ ⇄ $B_(aq)_$

The solution in which the reaction is taking place is in a vessel with which the volume is measured as 2.0 L. At equilibrium, there are 2 moles of B and 5 moles of A. What is a true statement in regards to the equilibrium constant for this reaction?",medium,,,,K < 1,"K is definitely smaller than 1. The concentrations of the substances is given in M or which is the same, mol/L. If the solution has a volume of 2.0L, then we just have to calculate the concentration of both A and B: $[A] = 5/2.0 = 2.5 M;$ $[B] = 2/2.0 = 1.0 M$. Substituing these values in the K equation we get: $K = [B]/[A]^3^$ $K = (1.0/2.5^3^)$ $K = 0.064$ making $K < 1$",,K > 1,"Without making any calculations, it can be inferred that K is probably smaller than 1, since $K = [products]/[reactants]$ at equilibrium and there is more of A (reactant) than B (products) at equilibrium.",,K < 0,"Since $K = [products]/[reactants]$, and concentrations are always positive values, then K would never be smaller than 0.",,Cannot be determined with this info,It can be determined given that having the moles and the volume of the substances you can calculate their concentrations with which you can determine the equilibrium constant.,,Ap Collage Board 2008 (Q 59)
3,AQUEOUS-03,"Consider the following reaction taking place in a reactor:

$A + 2B$ ⇄ $3C + D ΔH = 100.0 kJ$

The reaction is at equilibrium, but if you would want to increase the $ratio = [products]/[reactants]$ at the equilibrium state, what would you do?",easy,,,,Heighten the temperature,"Basically $ratio = [products]/[reactants]$ is fundamentally what the equilibrium constant K is. Being this an endothermic reaction, heat is considered to be a reactant. In order to shift the reaction to the products side (right), heightening the temperature would add a reactant to the system (heat), which will ultimately result in more products to be formed.",,Using a catalyst to increase the rate fo the reaction,"The usage of a catalyst will do little to nothing about increasing the $ratio = [products]/[reactants]$. A catalyst increases the rate of both forward and reverse reaction, so if anything the reaction would reach equilibrium faster, but since it's already at equilibrium, nothing will change.",,Reducing the temperature,"Basically $ratio = [products]/[reactants]$ is fundamentally what the equilibrium constant K is. Being this an endothermic reaction, heat is considered to be a reactant. So reducing the temperature is like removing a reactant from the reaction, which will ultimately make the reaction shift to the left, consuming the products and therefore reducing the $[products]/[reactants]$ ratio.",,Increasing the pressure,"Pressure can affect a reversible reaction but only for gaseous reactions. For this particular reaction where the state of matter of the species is not being specified, changing the pressure won't result in any significant change in the [products]/[reactants] ratio.",,Ap Collage Board 2002 (Q 37)
4,AQUEOUS-04,"Consider the following reaction:

A_(g)_ ⇄ 2B_(g)_

At a temperature of 273K, the equilibrium constant for the forward reaction is 30. What would the constant be for the reverse reaction?",medium,,,,0.033,"The equilibrium constant equation for this particular reaction is $K = [B]^2^/[A] = 30$. If we were to write the reverse balanced reaction, it would written like: $2B_(g)_ ⇄ A_(g)_$. From this perspective, B is the reactant while A is the product, so $K = [A]/[B]^2^$. These equilibrium constants can be related to each other since: $K_reverse_ = 1/K_forward_$. Calculating the K for the reaction we get: $K_reverse_ = 1/30 = 0.033.$",,-30,"This would be the equilibrium constant if $K_reverse_ = -K_forward_$, which is not the case whatsoever. Try to understand how the equilibrium constants are related to each other.",,15,This value is not related in any way to the equilibrium constant of neither the forward or reverse reaction.,,Cannot be determined with this info,It can be determined since both equilibrium constants are related to each other in this way: $K_reverse_ = 1/K_forward_$,,Ap Collage Board 2002 (Q 42)
5,AQUEOUS-05,"Consider the following reaction:

$A_(aq)_$ ⇄ $B_(aq)_ + C_(aq)_$

The reaction is at equilibrium, but this is disturbed by adding more of C, making its concentration to go up. After the equilibrium is restored once again, which of the species definitely had more moles per liter in the first state of equilibrium compared to the most recent state of equilibrium?",medium,,,,B,"After equilibrium is reached the first time, when adding more C (a product) the equilibrium shifts to the left, consuming both B and C to produce A. This means that whatever the concentration of B was at the beginning, it went down since B was consumed until equilibrium was restored once again, making [B] lower now.",,A,"After equilibrium is reached the first time, the addition of products make A to be produced even more, so its concentration in the original state of equilibrium is definitely lower than its concentration now.",,C,"After C is added, it is consumed to produce more of A, but since for each mol of C that's consumed a mol of B is also consumed, they are reduced by the same amount. Being this the case, what is definitely true is that the concentration of B is lower now than at the first state of equilibrium.",,They all decreased,"After equilibrium is reached the first time, the addition of products make A to be produced even more, for example.",,Ap Collage Board 1999 (Q41)
6,AQUEOUS-06,"Consider the following reaction:

$3A_(g)_ + B_(g)_$ ⇄ $2C_(g)_ + 4D_(g)_$

The exact same number of moles for A, B, C and D are injected into a rigid vessel for them to react and eventually reach equilibrium. Assuming that the forward reaction is the one that took place, what would be the order from higher to lower of the concentrations of each species?",medium,,,,[A] < [B] < [C] < [D],"Whatever the initial concentrations of all the involved species are, if the forward reaction took place, than an amount we'll call X was consumed and produced in the following manner: $[A]_o_ - 3X = [A],$ $[B]_o_ - X = [B],$ $[C]_o_ + 2X = [C],$ and $[D]_o_ + 4X = [D].$ It doesn't matter what number X is, if the initial concentrations are all the same then: $[A] < [B] < [C] < [D].$",,[D] < [C] < [B] < [A],D is a product of the forward reaction so it's impossible for it to be lower than A or B that were consumed.,,[A] < [C] < [B] < [D],C is a product of the forward reaction so it's impossible for it to be lower than B that was consumed.,,Cannot be determined with this info,It can be determined. Think about how all involved species are related to each other based on their stoichiometric coefficients.,,Ap Collage Board 1994 (Q51)
7,AQUEOUS-07,"Consider the following reaction:

$A + 2B ⇄ 3C$

Initially, 1.0 g of A and 2.0 g of B are weighted and then mixed in with water to create a 250 ml solution in a beaker. When equilibrium is reached, there are now 0.10 moles of C in the solution. What is the value for the equilibrium constant for this reaction? Note: molar mass of A is 100 g/mol and of B is 60 g/mol. ",hard,,,,33,"Initially there are 1 g of A and 2 g of B dissolved in a 250 ml solution, so to determine their moles let's divide the mass for their molar mass:

$Moles of A = 1/100 = 0.010 moles$
$Moles of B = 2/60 = 0.033 moles$ 

Calculate their initial concentrations: 

$[A] = 0.10/0.250 = 0.04 M$ 
$[B] = 0.033/0.250 = 0.132 M$

If at equilibrium 0.10 M of C are produced, that means that the concentrations at equilibrium of A and B are the following:

$[A] = 0.04 - (0.10/3) = 0.007$ 
$[B] = 0.132 - ((0.10 x 2)/3) = 0.066$ 

Substituing in the equation for K:

$K = [C]^3^/[A][B]^2^$ 
$K = (0.10)^3^/(0.007)(0.066)^2^ = 33$",,216,You probably forgot to elevate the concentrations of the species to their coefficients in the equation for the equilibrium constant.,,19,You probably used the K equation using the initial concentrations of A and B instead of their concentrations in the equilibrium state.,,1.43,Take into account how A and B are consumed given the quantity of C that was produced and use the equilibrium constant equation that goes as: $K = [C]^3^/[A][B]^2^$,,Ap Collage Board 1994 (Q73)
8,AQUEOUS-08,"Take into account the following reactions:

Reaction 1: $2A + B_2_C$ ⇄ $2AB + C K_1_$
Reaction 2: $AB + D$ ⇄ $AD + B K_2_$
Reaction 3: $B_2_C + D$ ⇄ $CD + 2B K_3_$

Which one would be the constant K for the following reaction?

Final reaction: $2A + B + CD$ ⇄ $AB + AD + C$
",hard,,,,K_1_K_2_/K_3_,"Going step by step to get to the final reaction, let's first revert reaction 3:

$CD + 2B ⇄ B_2_C + D$ which K is: 
$K_1/3_ = [B_2_C][D]/[CD][B]^2^$
$K_1/3_ = 1/K_3_$ 

Then by summing it up with reaction 2 we obtain a new reaction we can call reaction 4:
$AB + CD + B ⇄ AD + B_2_C$ which K results from the multiplication of both reactions' K constants, like this:

$K_1/3_K_2$_ = $[B_2_C][AD][B][D]/[AB][D][CD][B]^2^$

Cancelling all equal terms:
$K_1/3_K_2$_ = $[B_2_C][AD]/[AB][CD][B]$

Substituing with the original K values:
$K_4_$ = $K_2_/K_3_$

Finally, by summing this 4th reaction with reaction 1, we get the desired reaction:
$2A + B + CD ⇄ AB + AD + C$ which K results from the multiplication of both reactions' K constants, like this:

$K_4_K_1_$ = $[B_2_C][AD][AB]^2^[C]/[AB][CD][B][B_2_C][A]^2^$

Cancelling all equal terms:
$K_4_K_1_$ = $[AD][AB][C]/[CD][B][A]^2^$

Substituing with the original K values:
$K = K_1_K_2_/K_3_$

",,K_1/_K_2_K_3_,"This is not how the equilibrium constants are actually related to each other in that final reaction. Take into account that, simply put, when reactions are summed up their constants are multiplied.",,K_1_K_2_K_3_,"This is not how the equilibrium constants are actually related to each other in that final reaction. Take into account that, simply put, to get the constant K of the reverse reaction, the new K is the inverse of the K for the forward reaction. $K_f_ = 1/K_r_$",,K_1_K_2_,"Take into account that, simply put, when reactions are summed up their constants are multiplied and to get the constant K of the reverse reaction, the new K is the inverse of the K for the forward reaction. $K_f_ = 1/K_r_$",,"Albert.io ""Kc from Reactions"""
9,AQUEOUS-09,"An acid is introduced to a beaker with water for it to get dissociated like this:

$HA + H_2_O ⇄ H_3_O^+^ + A^-^$

How is the rate of the forward and reverse reactions related to the concentration of [HA] and the pH?
",medium,,,,"When the forward reaction is taking place, its rate is going down while both [HA] and the pH are going down as well.","If the forward reaction is the predominant reaction that's taking place, this means that its rate is higher than the rate of the reverse reaction at that moment. To reach equilibrium, the rate of the forward reaction has to continue decreasing until $rate_forward_ = rate_reverse_$. 

As the forward reaction is taking place, HA is being consumed so its concentration is going down while H^+^ (or H_3_O^+^) is being produced, which will heighten its concentration, which translates into a lower pH since $pH = -log[H^+^].$",,"When the forward reaction is taking place, the rate of the reverse reaction is going down while both [HA] and the pH are going down as well.","If the forward reaction is the predominant reaction that's taking place, this means that its rate is higher than the rate of the reverse reaction at that moment. To reach equilibrium, the rate of the forward reaction has to continue decreasing and the rate of the reverse reaction has to continue increasing until they're equal.",,"When the forward reaction is taking place, its rate is going up while both [HA] and the pH are going up as well.","If the forward reaction is the predominant reaction that's taking place, this means that its rate is higher than the rate of the reverse reaction at that moment. To reach equilibrium, the rate of the forward reaction has to continue decreasing until $rate_forward_ = rate_reverse_$. Besides that, HA is being consumed so its concentration is getting lowered.",,"When the forward reaction is taking place, its rate is going down while both [HA] is going down as well but the pH is going down up.","[H^+^] (or [H_3_O^+^]) is going up as the forward reaction is taking place, which will ultimately translate into a lower pH since $pH = -log[H^+^]$. Remember that low values of pH mean the acidity is high. ",,"Albert.io ""Kinetics and Equilibrium of Vitamin C"""
10,AQUEOUS-10,"The initial concentrations of some substances involved in a reaction are given:

$3A +  2B ⇄ 4C + D$

$[A] = 0.012 M$, $[B] = 0.020 M$, $[C] = 0.018 M$ and $[D] = 0.005 M$

The reaction is allowed to reach equilibrium, at which the concentration of A got doubled. What would be true of the following at equilibrium? ",medium,,,,$[C] = 2 x [D]$,"Given that [A] got doubled, this means that its concetration at equilibrium is $2 x 0.012 =.0.024 M.$ This implies that the reverse reaction is the one that took place in order for the system to reach equilibrium. Having this as a guide, we can calculate the rest of the concentrations at equilibrium:

$[B] = 0.020 + 0.012(2)/3 = 0.028 M$
$[C] = 0.018 - 0.012(4)/3 = 0.002 M$
$[D] = 0.005 - 0.012/3 = 0.001 M$

Knowing this, it's true that $[C] = 2 x [D]$ at equilibrium.",,C and D are the products of the reaction that took place.,"Given that [A] got doubled, this means that its concetration at equilibrium is $2 x 0.012 =.0.024 M.$ This implies that the reverse reaction is the one that took place in order for the system to reach equilibrium.",,$[A] > [B]$,This is not the case at equilibrium. Try calculating the concentrations of each species at equilibrium and see how they related to each other,,$[A] > 0.024 M$,"Given that [A] got doubled, this means that its concetration at equilibrium is $2 x 0.012 =.0.024 M$ and not higher than that. ",,"Albert.io ""Moles at Equilibrium"""
