Question,,,,,,,Correct answer,,,Incorrect answer 1,,,Incorrect answer 2,,,Incorrect answer 3,,,
number,id,text,difficulty,image-name,image-label,table,text,explanation,position,text,explanation,position,text,explanation,position,text,explanation,position,
1,GASEOUS-01,"Consider the following reaction:

$A_(g)_ + 2B_(g)_$ ⇄ $3C_(g)_ ΔH$ = $-50.0 kJ$

What actions can you take that results in an increment on the amount of A when at equilibrium?",easy,,,,Adding C and lowering the temperature,"By adding C, a reactant of the reverse reaction, you're allowing it to take place for the system to compensate by producing more of A and B. When lowering the temperature, you're actually removing a product of the reverse reaction, heat, which also contributes to the equilibrium shifting left.",,Adding B and lowering the temperature,"When lowering the temperature, you're actually removing a product of the reverse reaction, heat, which also contributes to the equilibrium shifting left. But if you're adding B, a reactant of the forward reaction, this will not make A get produced, but on the contrary, it might shift the equilibrium to the right and make A decrease even more by reacting with B to form C.",,Adding B and increasing the temperature,"If you're adding B, a reactant of the forward reaction, this will not make A get produced, but on the contrary, it will shift the equilibrium to the right and make A decrease even more by reacting with B to form C. Besides that, if you're also increasing the temperature, this would be the equivalent to adding heat, a reactant of the forward reaction too, shifting the equilibrium further to the right.",,Adding C and increasing the temperature the temperature,"If you're increasing the temperature, this would be the equivalent to adding heat, a reactant of the forward reaction too, shifting the equilibrium to the right.",,AP Collage Board 2008 (Q 35)
2,GASEOUS-02,"Consider the following reaction:
 
$A_(g)_ + B_(g)_$ ⇄ $C_(g)_ ΔH$ = $-50.0 kJ$

What can you do to increase the value of the equilibrium constant K for the reverse reaction?",medium,,,,Reducing the temperature,"Since the forward reaction is an endothermic reaction, the reverse reaction is an exothermic reaction (meaning that heat could be considered one of its products). By reducing the temperature, you're basically removing this product, making the equilibrium shift to the left, because of how its related to the equilibrium constant. This will ultimately make the equilibrium constant bigger for the reverse reaction, allowing more products of that reaction to be formed at equilibrium.",,Elevating the temperature,"Since the forward reaction is an endothermic reaction, the reverse reaction is an exothermic reaction (meaning that heat could be considered one of its products). Elevating the temperature will actually accomplish the total opposite by decreasing the value of the equilibrium constant for the reverse reaction.",,Adding C to the system,"Adding C to the system will shift the equilibrium to the left, but not by increasing the equilibrium constant value.",,Adding A to the system,Adding A to the system would do nothing regarding the equilibrium constant for any reaction.,,AP Collage Board 1999 (Q54)
3,GASEOUS-03,"Analyze the following reaction:

$A_(aq)_$ ⇄ $B_(aq)_$ $K = 3.7x10^-12^$

What would be true about this system at equilibrium?",easy,,,,"When at equilibrium, there is barely any B present in the system.","Since the K for the reaction is almost 0, and at the same time $K = [B]/[A]$, then that indicates that at equilibrium $[B] ≈ 0$, especially compared to [A].",,"When at equilibrium, there is barely any A present in the system.","Being $K = [products]/[reactants]$, at equilibrium there should be much more A than B given how small is the equilibrium constant value.",,"When at equilibrium, there are equal amounts of A and B in the system.","Equilibrium is often mistaken to mean $[products] = [reactants]$, which is not the case whatsoever. A K that small indicates that at equilibrium there is a major lack of products compared to the reactants present in the system",,There is not enough information to determine the [products]/[reactants] ratio at equilibrium.,"K in the most fundamental way is a ratio of [products]/[reactants]. Its value is indicative of how much of products or reactants are compared to the other. In this case, a K that small implies a very small amount of products compared to the reactants.",,AP Collage Board 1999 (Q62)
4,GASEOUS-04,"Consider the following reaction that's taking place in a tank:

$3A_(g)_ + 5B_(g)_$ ⇄ $C_(g)_ ΔH$ = $10.0 kJ$ 

What can you do to increase the amount of C there is at equilibrium?",easy,,,,Decrease the volume of the tank while increasing the temperature.,"Decreasing the volume would result in an increment in the pressure which will disturb the equilibrium by shifting the system to the right, producing more of C because there is fewer gas moles on the right side of the reaction (1 mole) compared to the left side (8 moles). On top of that, increasing the temperature will make the equilibrium constant bigger for the forward reaction given its endothermic nature, also contributing to the production of C.",,Decrease the pressure of the tank while decreasing the temperature.,"Decreasing the pressure will disturb the equilibrium by shifting the system to the left, consuming more of C because there is fewer gas moles on the right side of the reaction (1 mole) compared to the left side (8 moles), instead of producing it. On top of that, decreasing the temperature will make the equilibrium constant smaller for the forward reaction given its endothermic nature, also contributing to the consumption of C.",,Decrease the pressure of the tank while removing some of A and B,"Decreasing the pressure will disturb the equilibrium by shifting the system to the left, consuming more of C because there is fewer gas moles on the right side of the reaction (1 mole) compared to the left side (8 moles), instead of producing it. On top of that, removing A and B would only make the system go further to the left to compensate the lack of these substances.",,Decrease the volume of the tank while decreasing the temperature.,"Decreasing the volume would result in an increment in the pressure which will disturb the equilibrium by shifting the system to the right, producing more of C because there is fewer gas moles on the right side of the reaction (1 mole) compared to the left side (8 moles), but decreasing the temperature would counteract this by reducing the value of the equilibrium constant for the forward reaction.",,Ap Collage Board 1994 (Q48)
5,GASEOUS-05,"Analyze the following reaction that's taking place at 275K:

$A_(g)_ + B_(s)_$ ⇄ $C_(g)_  + 2D_(g)_$ $Kc = 1.3x10^-1^$

What would be the value for Kp for the forward reaction?",medium,,,,66.1,"Kp is just another way to represent the equilibrium constant for gaseous mixtures. 

In this case, to calculate Kp: $Kp = Kc(RT)^Δn^$ where Kc is the equilibrium constant expressed in terms of concentration 1.3x10^-1^, R is the gas constant 0.082 L⋅atm⋅K^−1^⋅mol^−1^, T is the temperature 275 K and finally Δn is the change in gaseous molecules (gaseous moles of products - gaseous moles of reactants) which is $3 - 1$.

We just replace with the values:
Kp = $(1.3x10^-1^)(0.082 x 275)^(3-1)^$
Kp = 66.1",,2.93,"Kp is just another way to represent the equilibrium constant for gaseous mixtures. 

In this case, to calculate Kp: $Kp = Kc(RT)^Δn^$ where Kc is the equilibrium constant express in terms of concentration 1.3x10^-1^, R is the gas constant 0.082 L⋅atm⋅K^−1^⋅mol^−1^, T is the temperature 275 K and finally Δn is the change in gaseous molecules (gaseous moles of products - gaseous moles of reactants) which is $3 - 1$.

This is probably the value you would obtain if you took into account the moles of B when calculating Δn which is incorrect because Δn is only the change of gaseous molecules.",,1.3x10^-1^,"You're assuming that $Kp = Kc$ which is not the case. Kp is just another way to represent the equilibrium constant for gaseous mixtures. In this case, to calculate Kp: $Kp = Kc(RT)^Δn^$",,2.55x10^-4^,"Kp is just another way to represent the equilibrium constant for gaseous mixtures.

In this case, to calculate Kp: $Kp = Kc(RT)^Δn^$ where Kc is the equilibrium constant express in terms of concentration 1.3x10^-1^, R is the gas constant 0.082 L⋅atm⋅K^−1^⋅mol^−1^, T is the temperature 275 K and finally Δn is the change in gaseous molecules (gaseous moles of products - gaseous moles of reactants) which is $3 - 1$.

This is probably the value you would obtain if you calculated Δn like $(gaseous moles of reactants - gaseous moles of products)$ instead of the other way around.",,"Albert.io ""Equilibrium Stresses"""
6,GASEOUS-06,"Consider the following reaction:

$A_2_B_(g)_$ ⇄ $2A_(g)_ + B_(g)_$

A_2_B decomposes into 2 moles of A and 1 mole of B. A_2_B is added to a rigid tank with an initial partial pressure of 2 atm and is left to be decomposed into its products until equilibrium. At equilibrium the total pressure of the mixture is 4 atm. What would the Kp for the reaction be?",hard,,,,Kp = 4.0,"Before A_2_B was added to the tank, this one was empty, so let's first know the initial partial pressures for all substances: $P_A2B_ = 2 atm,$ $P_A_ = 0 atm,$ and $P_B_ = 0 atm.$

Knowing that the total pressure for a mixture is the sum of all partial pressures within it: $P_total_ = P_A2B_  + P_A_ + P_B_$ and assuming X as the change in the partial pressures until equilibrium and given the equilibrium total pressure: $4 = (2 - X) + (2X) + (X)$ solving for X we get: $X = 1$.

We then just have to replace in the Kp expression:
Kp = $P_A_^2^P_B_/P_A2B_$
Kp = $(2)^2^(1)/(2-1)$
Kp = 4",,Kp = 2.0,This is the value you would obtain if you forgot to elevate P_A_ to its coefficient in the Kp expression.,,Kp = 1.0,This is in no way related to the Kp of this particular reaction whatosever.,,Cannot be determined with this information,It can be determined. Part from the fact that the sum of all the partial pressures is equal to the total pressure of a gaseous mixture: $P_total_ = P_A_ + P_B_ + P_A2B_$,,"Albert.io ""Evaluating K for Gaseous Equilibria"""
7,GASEOUS-07,"How would you describe the relationship between the equilibrium constants of the following reactions:

$A_(g)$ ⇄ $B_(g)  Kp_1_$
$2B(g)$ ⇄ $2A(g)  Kp_2_$",easy,,,,$Kp_1_ = 1/(Kp_2_)^2^$,"The second reaction is the reverse reaction of the first reaction multiplied by 2. Given that $Kp_1_ = P_B_/P_A_$ and $Kp_2_ = P_A_^2^/P_B_^2^$, Kp_1_ is the inverse of Kp_2_ squared: $K_1_ = 1/(K_2_)^2^$
",,$K_1_ = K_2_$,"This assumes that the equilibrium constant Kp is the same one for the forward reaction and reverse reaction, which is not the case.",,$Kp_1_ = -2Kp_2_$,"This assumes that the equilibrium constant for the reverse reaction is the same as the forward reaction but negative, which is not the case, especially because the equilibrium constant can never be a negative number. It also assumes that if the reaction is multiplied by 2 then the constant should to, but that's not the case neither.",,$Kp_1_ = Kp_2_^2^$,"This assumes that Kp for the forward reaction is equal to the Kp for the reverse one, but that's not the case. $Kp_forward_ = 1/Kp_reverse_$",,"Albert.io ""K and the Coefficients"""
8,GASEOUS-08,"Consider the following reaction that's taking place in a tank:

$3A_(g)_ + 2B_(g)_$ ⇄ $C_(g)_ ΔH$ = $-40.0 kJ$ 

What can you do to increase the amount of B there is at equilibrium without changing the equilibrium constant of the reaction?",medium,,,,Increasing the volume of the tank,"Increasing the volume would result in a decrease in the pressure which will disturb the equilibrium by shifting the system to the left, consuming more of C because there is fewer gas moles on the right side of the reaction (1 mole) compared to the left side (5 moles), producing more B in the process.",,Increasing the pressure,"Increasing the pressure will disturb the equilibrium by shifting the system to the right, producing more of C because there is fewer gas moles on the right side of the reaction (1 mole) compared to the left side (8 moles), consuming B instead of producing it.",,Increasing the temperature,"Increasing the temperature will ultimately produce more of B, but by altering the equilibrium constant and not the concentrations or pressures of the substances.",,Decreasing the temperature,Decreasing the temperature will not result in an increment in the production of B and will also alter the equilibrium constant.,,"Albert.io ""Stressing the system"""
9,GASEOUS-09,"Analyze the following reaction that's taking place at 400K:

$3A_(aq)_ + 2B_(aq)_$ ⇄ $C_(aq)_$ $Kc = 15$

An amount of C is added to an empty vessel. The reaction proceeds until it reaches equilibrium, at which $[A] = 0.36 M.$ What would be the initial concentration of C when it was first added?",hard,,,,0.16 M,"When C was first added to the vessel it had an X concentration.

At equilibrium 0.36 M of A were produced, which means that 0.24 M of B were produced (since $0.36 x 2/3 = 0.24)$ and 0.12 M of C were consumed (since $0.36 x 1/3 = 0.12).$

We can write the expression for the equilibrium constant of the reaction: $K = [A]^3^[B]^2^/[C]$ in which $K = 1/15$ $K = 0.066$ given that it's the reverse reaction of the equilibrium constant given.

We then just replace the values: $0.066 = (0.36)^3^(0.24)^2^/(X - 0.12)$ and solve for X: $X = 0.16.$",,0.12 M,"This is the value you would obtain if you assumed that the equilibrium constant for the forward reaction is the same as the equilibrium constant for the reverse reaction, which is not true.",,1.43 M,This is the value you would obtain if you forgot to elevate the concentrations to their coeffiecients in the reaction.,,0.45 M,"This is the value you would obtain if you assumed that 0.36 M of C were consumed to produce 0.36 M of A and 0.36 M of B, which is not the case given their coefficients.",,"Albert.io ""Concentration at Equilibrium"""
10,GASEOUS-10,"Consider the following reaction: 

$A_2_B_3__(g)_$ ⇄ $2A_(g)_ + 3B_(g)_$

When at equilibrium, all concentrations are the same. There is information about the equilibrium constant for another reaction:

$2A_2_B_3__(g)_$ ⇄ $3A_(g)_ + 6B_(g)_ K$ = $3.9x10^-3^$

What are the concentrations at equilibrium of the first reaction?",hard,,,,0.5 M,"Knowing the equilibrium constant of the last reaction, we can determine the K for the first one: $K = (3.9x10^-3^)^1/2^$ $K = 0.0625$.

Writing the expression for the K of the first reaction: $K = [A]^2^[B]^3^/[C]$.

Replacing the values: $0.0625 = (X)^2^(X)^3^/(X)$.

Solving for X: $X = (0.0625)^1/4^$ $X = 0.5 M$.",,0.25,"This is the value you would obtain if you assumed that the equilibrium constant for the first reaction is the same as the one for the last reaction, which is not the case. Since that last reaction is multiplied by 2, to determine the K for the first one you would have to calculate the square root of that equilibrium constant.",,0.21,"When a reaction is multiply by 2, the new K would be its value squared. In this case, the first reaction is the last one divided by 2, so to calculate its K you'd have to calculate it by getting the square root of the given K, and not just dividing it by 2.",,0.063,This is not the value for the concentrations at equilibrium. Try first calculating the equilibrium constant for the first reaction.,,"Albert.io ""Equilibrium Trials"""
