Question,,,,,,Correct answer,,,Incorrect answer 1,,,Incorrect answer 2,,,Incorrect answer 3,,
id,text,difficulty,image-name,image-label,table,text,explanation,position,text,explanation,position,text,explanation,position,text,explanation,position
solubility_placeholder_1,Question 1,easy,,,,Correct answer,Explanation for correct answer,,Incorrect 1,Explanation for incorrect 1,,Incorrect 2,Explanation for incorrect 2,,Incorrect 3,Explanation for incorrect 3,
solubility_placeholder_2,Question 2,easy,,,,Correct answer,Explanation for correct answer,,Incorrect 1,Explanation for incorrect 2,,Incorrect 2,Explanation for incorrect 3,,Incorrect 3,Explanation for incorrect 3,
solubility_placeholder_3,Question 3,easy,,,,Correct answer,Explanation for correct answer,,Incorrect 1,Explanation for incorrect 3,,Incorrect 2,Explanation for incorrect 4,,Incorrect 3,Explanation for incorrect 3,
solubility_placeholder_4,Question 4,easy,,,,Correct answer,Explanation for correct answer,,Incorrect 1,Explanation for incorrect 4,,Incorrect 2,Explanation for incorrect 5,,Incorrect 3,Explanation for incorrect 3,
solubility_placeholder_5,Question 5,easy,,,,Correct answer,Explanation for correct answer,,Incorrect 1,Explanation for incorrect 5,,Incorrect 2,Explanation for incorrect 6,,Incorrect 3,Explanation for incorrect 3,
solubility_placeholder_6,Question 6,easy,,,,Correct answer,Explanation for correct answer,,Incorrect 1,Explanation for incorrect 6,,Incorrect 2,Explanation for incorrect 7,,Incorrect 3,Explanation for incorrect 3,
solubility_placeholder_7,Question 7,easy,,,,Correct answer,Explanation for correct answer,,Incorrect 1,Explanation for incorrect 7,,Incorrect 2,Explanation for incorrect 8,,Incorrect 3,Explanation for incorrect 3,
solubility_placeholder_8,Question 8,easy,,,,Correct answer,Explanation for correct answer,,Incorrect 1,Explanation for incorrect 8,,Incorrect 2,Explanation for incorrect 9,,Incorrect 3,Explanation for incorrect 3,
solubility_placeholder_9,Question 9,easy,,,,Correct answer,Explanation for correct answer,,Incorrect 1,Explanation for incorrect 9,,Incorrect 2,Explanation for incorrect 10,,Incorrect 3,Explanation for incorrect 3,
solubility_placeholder_10,Question 10,easy,,,,Correct answer,Explanation for correct answer,,Incorrect 1,Explanation for incorrect 10,,Incorrect 2,Explanation for incorrect 11,,Incorrect 3,Explanation for incorrect 3,
solubility_placeholder_11,Question 11,easy,,,,Correct answer,Explanation for correct answer,,Incorrect 1,Explanation for incorrect 11,,Incorrect 2,Explanation for incorrect 12,,Incorrect 3,Explanation for incorrect 3,
solubility_placeholder_12,Question 12,easy,,,,Correct answer,Explanation for correct answer,,Incorrect 1,Explanation for incorrect 12,,Incorrect 2,Explanation for incorrect 13,,Incorrect 3,Explanation for incorrect 3,
solubility_placeholder_13,Question 13,medium,,,,Correct answer,Explanation for correct answer,,Incorrect 1,Explanation for incorrect 13,,Incorrect 2,Explanation for incorrect 14,,Incorrect 3,Explanation for incorrect 3,
solubility_placeholder_14,Question 14,medium ,,,,Correct answer,Explanation for correct answer,,Incorrect 1,Explanation for incorrect 14,,Incorrect 2,Explanation for incorrect 15,,Incorrect 3,Explanation for incorrect 3,
solubility_placeholder_15,Question 15,hard,,,,Correct answer,Explanation for correct answer,,Incorrect 1,Explanation for incorrect 15,,Incorrect 2,Explanation for incorrect 16,,Incorrect 3,Explanation for incorrect 3,
